#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Are you tough enough?
1-1	0-1	#	*[523]|*[778]	SOFTWARE[523]|SOFTWARE[778]
4-41	494-498	ways	*[778]	SOFTWARE[778]
4-42	498-499	-	*[778]	SOFTWARE[778]
4-43	500-508	swapping	*[778]	SOFTWARE[778]
4-44	509-518	important	*[778]	SOFTWARE[778]
4-45	519-527	question	*[778]	SOFTWARE[778]
4-46	528-532	word	*[778]	SOFTWARE[778]
4-47	533-536	for	*[778]	SOFTWARE[778]
4-48	536-537	:	*[778]	SOFTWARE[778]
4-49	539-540	1	*[778]	SOFTWARE[778]
4-50	540-541	)	*[778]	SOFTWARE[778]
4-51	542-545	its	*[778]	SOFTWARE[778]
4-52	546-558	semantically	*[778]	SOFTWARE[778]
4-53	559-566	correct	*[778]	SOFTWARE[778]
4-54	567-574	synonym	*[778]	SOFTWARE[778]
4-55	575-578	and	*[778]	SOFTWARE[778]
4-56	579-580	2	*[778]	SOFTWARE[778]
4-57	580-581	)	*[778]	SOFTWARE[778]
4-58	582-585	for	*[778]	SOFTWARE[778]
4-59	586-590	word	*[778]	SOFTWARE[778]
4-60	591-597	vector	*[778]	SOFTWARE[778]
4-61	598-602	that	*[778]	SOFTWARE[778]
4-62	603-605	is	*[778]	SOFTWARE[778]
4-63	606-611	close	*[778]	SOFTWARE[778]
4-64	612-614	in	*[778]	SOFTWARE[778]
4-65	615-624	embedding	*[778]	SOFTWARE[778]
4-66	625-630	space	*[778]	SOFTWARE[778]
4-67	630-631	.	*[778]	SOFTWARE[778]

#Text=We estimate importance of words in asked questions with Locally Interpretable Model Agnostic Explanations method (LIME).   !
5-1	633-635	We	*[778]	SOFTWARE[778]
5-2	636-644	estimate	*[778]	SOFTWARE[778]
5-3	645-655	importance	*[778]	SOFTWARE[778]
5-4	656-658	of	*[778]	SOFTWARE[778]
5-5	659-664	words	*[778]	SOFTWARE[778]
5-6	665-667	in	*[778]	SOFTWARE[778]
5-7	668-673	asked	*[778]	SOFTWARE[778]
5-8	674-683	questions	*[778]	SOFTWARE[778]
5-9	684-688	with	*[778]	SOFTWARE[778]
5-10	689-696	Locally	*[778]	SOFTWARE[778]
5-11	697-710	Interpretable	*[778]	SOFTWARE[778]
5-12	711-716	Model	*[778]	SOFTWARE[778]
5-13	717-725	Agnostic	*[778]	SOFTWARE[778]
5-14	726-738	Explanations	*[778]	SOFTWARE[778]
5-15	739-745	method	*[778]	SOFTWARE[778]
5-16	746-747	(	*[778]	SOFTWARE[778]
5-17	747-751	LIME	*[778]	SOFTWARE[778]
5-18	751-752	)	*[778]	SOFTWARE[778]
5-19	752-753	.	*[778]	SOFTWARE[778]
5-20	756-757	!	*[778]	SOFTWARE[778]

#Text=\[Schema of Robustness Validation Framework\](img/workshop\_framework\_2.png)  More details can be found in the paper accepted to NIPS IRASL workshop https://arxiv.org/abs/1812.02205  \*This framework is in progress and will be updated.\*
6-1	757-758	\[	*[778]	SOFTWARE[778]
6-2	758-764	Schema	*[778]	SOFTWARE[778]
6-3	765-767	of	*[778]	SOFTWARE[778]
6-4	768-778	Robustness	*[778]	SOFTWARE[778]
6-5	779-789	Validation	*[778]	SOFTWARE[778]
6-6	790-799	Framework	*[778]	SOFTWARE[778]
6-7	799-800	\]	*[778]	SOFTWARE[778]
6-8	800-801	(	*[778]	SOFTWARE[778]
6-9	801-804	img	*[778]	SOFTWARE[778]
6-10	804-805	/	*[778]	SOFTWARE[778]
6-11	805-823	workshop\_framework	*[778]	SOFTWARE[778]
6-12	823-824	\_	*[778]	SOFTWARE[778]
6-13	824-825	2	*[778]	SOFTWARE[778]
6-14	825-826	.	*[778]	SOFTWARE[778]
6-15	826-829	png	*[778]	SOFTWARE[778]
6-16	829-830	)	*[778]	SOFTWARE[778]
6-17	832-836	More	*[778]	SOFTWARE[778]
6-18	837-844	details	*[778]	SOFTWARE[778]
6-19	845-848	can	*[778]	SOFTWARE[778]
6-20	849-851	be	*[778]	SOFTWARE[778]
6-21	852-857	found	*[778]	SOFTWARE[778]
6-22	858-860	in	*[778]	SOFTWARE[778]
6-23	861-864	the	*[778]	SOFTWARE[778]
6-24	865-870	paper	*[778]	SOFTWARE[778]
6-25	871-879	accepted	*[778]	SOFTWARE[778]
6-26	880-882	to	*[778]	SOFTWARE[778]
6-27	883-887	NIPS	*[778]	SOFTWARE[778]
6-28	888-893	IRASL	*[778]	SOFTWARE[778]
6-29	894-902	workshop	*[778]	SOFTWARE[778]
6-30	903-908	https	*[778]	SOFTWARE[778]
6-31	908-909	:	*[778]	SOFTWARE[778]
6-32	909-910	/	*[778]	SOFTWARE[778]
6-33	910-911	/	*[778]	SOFTWARE[778]
6-34	911-920	arxiv.org	*[778]	SOFTWARE[778]
6-35	920-921	/	*[778]	SOFTWARE[778]
6-36	921-924	abs	*[778]	SOFTWARE[778]
6-37	924-925	/	*[778]	SOFTWARE[778]
6-38	925-935	1812.02205	*[778]	SOFTWARE[778]
6-39	937-938	\*	*[778]	SOFTWARE[778]
6-40	938-942	This	*[778]	SOFTWARE[778]
6-41	943-952	framework	*[778]	SOFTWARE[778]
6-42	953-955	is	*[778]	SOFTWARE[778]
6-43	956-958	in	*[778]	SOFTWARE[778]
6-44	959-967	progress	*[778]	SOFTWARE[778]
6-45	968-971	and	*[778]	SOFTWARE[778]
6-46	972-976	will	*[778]	SOFTWARE[778]
6-47	977-979	be	*[778]	SOFTWARE[778]
6-48	980-987	updated	*[778]	SOFTWARE[778]
6-49	987-988	.	*[778]	SOFTWARE[778]
6-50	988-989	\*	*[778]	SOFTWARE[778]
